System Uptime[ms] 53114,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 13.96,Airdata AoA[deg] -1.93,Airdata AoS[deg] -11.73,Airdata VCAS[m/s] 2.08,Airdata VTAS[m/s] 2.09,BMP280_0 P[Pa] 100202.67, BMP280_0 Tpackage[C] 22.26, HTU21DF_0 RH[%] 79.01, HTU21DF_0 Tpackage[C] 20.89, D6F-PH0025AD1_0 q[Pa] 2.45, D6F-PH0025AD1_0 Tpackage[C] 18.80, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 19.20, D6F-PH0025AD1_2 q[Pa] 3.08, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 0, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382966995, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 48, GPS_0 seconds[-] 47, ;
System Uptime[ms] 73489,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.40,Airdata AoA[deg] 6.10,Airdata AoS[deg] -12.20,Airdata VCAS[m/s] 1.69,Airdata VTAS[m/s] 1.70,BMP280_0 P[Pa] 100207.14, BMP280_0 Tpackage[C] 22.70, HTU21DF_0 RH[%] 67.53, HTU21DF_0 Tpackage[C] 21.47, D6F-PH0025AD1_0 q[Pa] 1.42, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 0.95, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.46, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 8, ;
System Uptime[ms] 73946,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.41,Airdata AoA[deg] 13.18,Airdata AoS[deg] -5.98,Airdata VCAS[m/s] 1.69,Airdata VTAS[m/s] 1.70,BMP280_0 P[Pa] 100206.33, BMP280_0 Tpackage[C] 22.71, HTU21DF_0 RH[%] 67.44, HTU21DF_0 Tpackage[C] 21.48, D6F-PH0025AD1_0 q[Pa] 1.37, D6F-PH0025AD1_0 Tpackage[C] 19.00, D6F-PH0025AD1_1 q[Pa] 1.31, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.61, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 8, ;
System Uptime[ms] 74428,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.42,Airdata AoA[deg] 2.28,Airdata AoS[deg] -5.52,Airdata VCAS[m/s] 1.70,Airdata VTAS[m/s] 1.71,BMP280_0 P[Pa] 100209.08, BMP280_0 Tpackage[C] 22.72, HTU21DF_0 RH[%] 67.36, HTU21DF_0 Tpackage[C] 21.48, D6F-PH0025AD1_0 q[Pa] 1.63, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.31, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.10, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 9, ;
System Uptime[ms] 74885,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.90,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.42,Airdata AoA[deg] -17.30,Airdata AoS[deg] -13.72,Airdata VCAS[m/s] 1.66,Airdata VTAS[m/s] 1.67,BMP280_0 P[Pa] 100210.00, BMP280_0 Tpackage[C] 22.72, HTU21DF_0 RH[%] 67.33, HTU21DF_0 Tpackage[C] 21.50, D6F-PH0025AD1_0 q[Pa] 1.07, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.69, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 1.23, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 9, ;
System Uptime[ms] 75342,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.43,Airdata AoA[deg] 15.60,Airdata AoS[deg] -9.15,Airdata VCAS[m/s] 1.57,Airdata VTAS[m/s] 1.58,BMP280_0 P[Pa] 100208.58, BMP280_0 Tpackage[C] 22.73, HTU21DF_0 RH[%] 67.35, HTU21DF_0 Tpackage[C] 21.52, D6F-PH0025AD1_0 q[Pa] 1.33, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.85, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.61, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 10, ;
System Uptime[ms] 75799,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.44,Airdata AoA[deg] -16.93,Airdata AoS[deg] -30.21,Airdata VCAS[m/s] 1.71,Airdata VTAS[m/s] 1.73,BMP280_0 P[Pa] 100208.33, BMP280_0 Tpackage[C] 22.74, HTU21DF_0 RH[%] 67.39, HTU21DF_0 Tpackage[C] 21.53, D6F-PH0025AD1_0 q[Pa] 0.91, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.12, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.26, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 10, ;
System Uptime[ms] 76256,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.92,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.45,Airdata AoA[deg] -35.00,Airdata AoS[deg] -32.53,Airdata VCAS[m/s] 1.80,Airdata VTAS[m/s] 1.81,BMP280_0 P[Pa] 100206.68, BMP280_0 Tpackage[C] 22.75, HTU21DF_0 RH[%] 67.42, HTU21DF_0 Tpackage[C] 21.55, D6F-PH0025AD1_0 q[Pa] 1.12, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.00, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 1.59, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 11, ;
System Uptime[ms] 76738,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.46,Airdata AoA[deg] 9.77,Airdata AoS[deg] -16.02,Airdata VCAS[m/s] 1.51,Airdata VTAS[m/s] 1.52,BMP280_0 P[Pa] 100206.27, BMP280_0 Tpackage[C] 22.76, HTU21DF_0 RH[%] 67.16, HTU21DF_0 Tpackage[C] 21.55, D6F-PH0025AD1_0 q[Pa] 1.48, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.59, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.20, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 11, ;
System Uptime[ms] 77195,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.47,Airdata AoA[deg] -32.55,Airdata AoS[deg] -29.52,Airdata VCAS[m/s] 1.71,Airdata VTAS[m/s] 1.73,BMP280_0 P[Pa] 100209.36, BMP280_0 Tpackage[C] 22.77, HTU21DF_0 RH[%] 66.91, HTU21DF_0 Tpackage[C] 21.58, D6F-PH0025AD1_0 q[Pa] 1.07, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.01, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 1.44, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 12, ;
System Uptime[ms] 77652,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.48,Airdata AoA[deg] 3.13,Airdata AoS[deg] -16.73,Airdata VCAS[m/s] 1.33,Airdata VTAS[m/s] 1.34,BMP280_0 P[Pa] 100204.61, BMP280_0 Tpackage[C] 22.78, HTU21DF_0 RH[%] 66.75, HTU21DF_0 Tpackage[C] 21.59, D6F-PH0025AD1_0 q[Pa] 0.76, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.37, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 1.64, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 12, ;
System Uptime[ms] 78109,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.49,Airdata AoA[deg] 4.72,Airdata AoS[deg] -13.56,Airdata VCAS[m/s] 1.33,Airdata VTAS[m/s] 1.34,BMP280_0 P[Pa] 100206.42, BMP280_0 Tpackage[C] 22.79, HTU21DF_0 RH[%] 66.58, HTU21DF_0 Tpackage[C] 21.59, D6F-PH0025AD1_0 q[Pa] 0.96, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.43, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 1.64, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 12, ;
System Uptime[ms] 78566,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.50,Airdata AoA[deg] 16.98,Airdata AoS[deg] 0.54,Airdata VCAS[m/s] 1.44,Airdata VTAS[m/s] 1.45,BMP280_0 P[Pa] 100206.92, BMP280_0 Tpackage[C] 22.80, HTU21DF_0 RH[%] 66.44, HTU21DF_0 Tpackage[C] 21.62, D6F-PH0025AD1_0 q[Pa] 1.42, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.26, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 2.10, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 13, ;
System Uptime[ms] 79048,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.50,Airdata AoA[deg] 20.54,Airdata AoS[deg] 4.63,Airdata VCAS[m/s] 1.67,Airdata VTAS[m/s] 1.68,BMP280_0 P[Pa] 100206.17, BMP280_0 Tpackage[C] 22.80, HTU21DF_0 RH[%] 66.36, HTU21DF_0 Tpackage[C] 21.62, D6F-PH0025AD1_0 q[Pa] 1.83, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.95, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.82, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 13, ;
System Uptime[ms] 79505,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.52,Airdata AoA[deg] -3.71,Airdata AoS[deg] -10.31,Airdata VCAS[m/s] 1.81,Airdata VTAS[m/s] 1.82,BMP280_0 P[Pa] 100207.55, BMP280_0 Tpackage[C] 22.82, HTU21DF_0 RH[%] 66.34, HTU21DF_0 Tpackage[C] 21.64, D6F-PH0025AD1_0 q[Pa] 2.24, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.16, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.15, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 14, ;
System Uptime[ms] 79962,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.53,Airdata AoA[deg] 7.83,Airdata AoS[deg] 2.26,Airdata VCAS[m/s] 1.87,Airdata VTAS[m/s] 1.88,BMP280_0 P[Pa] 100207.73, BMP280_0 Tpackage[C] 22.83, HTU21DF_0 RH[%] 66.29, HTU21DF_0 Tpackage[C] 21.66, D6F-PH0025AD1_0 q[Pa] 2.55, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.31, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.66, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 14, ;
System Uptime[ms] 80419,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.53,Airdata AoA[deg] -10.95,Airdata AoS[deg] -13.83,Airdata VCAS[m/s] 1.90,Airdata VTAS[m/s] 1.91,BMP280_0 P[Pa] 100208.14, BMP280_0 Tpackage[C] 22.83, HTU21DF_0 RH[%] 66.24, HTU21DF_0 Tpackage[C] 21.67, D6F-PH0025AD1_0 q[Pa] 1.73, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 0.90, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.10, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 15, ;
System Uptime[ms] 80876,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.54,Airdata AoA[deg] 8.33,Airdata AoS[deg] -6.06,Airdata VCAS[m/s] 1.92,Airdata VTAS[m/s] 1.94,BMP280_0 P[Pa] 100204.31, BMP280_0 Tpackage[C] 22.84, HTU21DF_0 RH[%] 66.11, HTU21DF_0 Tpackage[C] 21.67, D6F-PH0025AD1_0 q[Pa] 2.80, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.73, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 3.02, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 15, ;
System Uptime[ms] 81358,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.94,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.55,Airdata AoA[deg] 13.39,Airdata AoS[deg] -1.50,Airdata VCAS[m/s] 2.07,Airdata VTAS[m/s] 2.08,BMP280_0 P[Pa] 100207.81, BMP280_0 Tpackage[C] 22.85, HTU21DF_0 RH[%] 65.87, HTU21DF_0 Tpackage[C] 21.69, D6F-PH0025AD1_0 q[Pa] 2.75, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.41, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 3.80, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 16, ;
System Uptime[ms] 81815,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.56,Airdata AoA[deg] -1.15,Airdata AoS[deg] -15.07,Airdata VCAS[m/s] 2.16,Airdata VTAS[m/s] 2.17,BMP280_0 P[Pa] 100208.25, BMP280_0 Tpackage[C] 22.86, HTU21DF_0 RH[%] 65.77, HTU21DF_0 Tpackage[C] 21.72, D6F-PH0025AD1_0 q[Pa] 2.50, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.31, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 3.49, D6F-PH0025AD1_2 Tpackage[C] 18.90, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 16, ;
System Uptime[ms] 82272,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.57,Airdata AoA[deg] 1.43,Airdata AoS[deg] -15.24,Airdata VCAS[m/s] 2.03,Airdata VTAS[m/s] 2.04,BMP280_0 P[Pa] 100204.92, BMP280_0 Tpackage[C] 22.87, HTU21DF_0 RH[%] 65.69, HTU21DF_0 Tpackage[C] 21.72, D6F-PH0025AD1_0 q[Pa] 1.78, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.37, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 3.13, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382951498, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 17, ;
System Uptime[ms] 82729,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.59,Airdata AoA[deg] 0.88,Airdata AoS[deg] -14.17,Airdata VCAS[m/s] 1.93,Airdata VTAS[m/s] 1.95,BMP280_0 P[Pa] 100207.77, BMP280_0 Tpackage[C] 22.89, HTU21DF_0 RH[%] 65.62, HTU21DF_0 Tpackage[C] 21.74, D6F-PH0025AD1_0 q[Pa] 1.78, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 1.26, D6F-PH0025AD1_1 Tpackage[C] 19.40, D6F-PH0025AD1_2 q[Pa] 2.83, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382953882, GPS_0 year[-] -1, GPS_0 month[-] -1, GPS_0 day[-] -1, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 17, ;
System Uptime[ms] 83186,System VBATTcell0[V] 3.99,System VBATTcell1[V] 3.95,System VBATTcell2[V] 3.91,Airdata rho[kg/m3] 1.21,Airdata T[C] 14.59,Airdata AoA[deg] 9.85,Airdata AoS[deg] -10.36,Airdata VCAS[m/s] 2.24,Airdata VTAS[m/s] 2.25,BMP280_0 P[Pa] 100207.98, BMP280_0 Tpackage[C] 22.89, HTU21DF_0 RH[%] 65.56, HTU21DF_0 Tpackage[C] 21.74, D6F-PH0025AD1_0 q[Pa] 3.87, D6F-PH0025AD1_0 Tpackage[C] 19.20, D6F-PH0025AD1_1 q[Pa] 2.20, D6F-PH0025AD1_1 Tpackage[C] 19.60, D6F-PH0025AD1_2 q[Pa] 3.95, D6F-PH0025AD1_2 Tpackage[C] 19.10, MPU6050_0 pitch[deg] nan, MPU6050_0 roll[deg] nan, VL53L1X_0 s[m] 0.09, GPS_0 satellites[-] 11, GPS_0 latitude[deg] 51.1873550415, GPS_0 longitude[deg] -1.0382955074, GPS_0 year[-] 2022, GPS_0 month[-] 7, GPS_0 day[-] 27, GPS_0 hours[-] 5, GPS_0 minutes[-] 49, GPS_0 seconds[-] 18, ;
